seed=400, start_node=2, max_in=2, max_out=1
seed=402, start_node=1, max_in=5, max_out=2
seed=755, start_node=3, max_in=1, max_out=5
seed=607, start_node=5, max_in=2, max_out=5
seed=938, start_node=5, max_in=4, max_out=3
seed=915, start_node=2, max_in=2, max_out=1
seed=919, start_node=2, max_in=4, max_out=1
seed=986, start_node=2, max_in=1, max_out=3
seed=914, start_node=4, max_in=3, max_out=5
seed=505, start_node=3, max_in=5, max_out=4
seed=1000, start_node=5, max_in=1, max_out=4
seed=573, start_node=2, max_in=4, max_out=4
seed=548, start_node=2, max_in=1, max_out=4
seed=317, start_node=5, max_in=5, max_out=1
seed=865, start_node=4, max_in=3, max_out=3
seed=913, start_node=3, max_in=2, max_out=4
seed=653, start_node=1, max_in=1, max_out=4
seed=355, start_node=3, max_in=1, max_out=2
seed=927, start_node=4, max_in=5, max_out=5
seed=976, start_node=1, max_in=5, max_out=2
seed=761, start_node=1, max_in=5, max_out=4
seed=884, start_node=2, max_in=5, max_out=5
seed=500, start_node=3, max_in=1, max_out=5
seed=104, start_node=3, max_in=2, max_out=4
seed=129, start_node=4, max_in=5, max_out=1
seed=314, start_node=4, max_in=3, max_out=4
seed=836, start_node=4, max_in=3, max_out=1
seed=881, start_node=2, max_in=4, max_out=2
seed=331, start_node=3, max_in=5, max_out=3
seed=682, start_node=2, max_in=5, max_out=5
seed=183, start_node=3, max_in=1, max_out=3
seed=464, start_node=5, max_in=2, max_out=1
seed=222, start_node=2, max_in=4, max_out=2
seed=436, start_node=2, max_in=2, max_out=4
seed=875, start_node=1, max_in=3, max_out=3
seed=512, start_node=4, max_in=4, max_out=3
seed=539, start_node=5, max_in=4, max_out=5
seed=816, start_node=3, max_in=1, max_out=3
seed=474, start_node=3, max_in=2, max_out=1
seed=695, start_node=3, max_in=2, max_out=4
